-1: Logger is currently incomplete.  Delete this file if you see this line.
-1: Resolution 968.0 576.0
16.658: RightPaddle 9.9E-324 9.9E-324
16.658: MeSpawn 191.28981710451217 4 16 square
16.759: LeftPaddle 0.0 396.0
16.759: RightPaddle 9.9E-324 9.9E-324
16.859: LeftPaddle 0.0 396.0
16.859: RightPaddle 9.9E-324 9.9E-324
16.955: LeftPaddle 105.0 396.0
16.955: RightPaddle 9.9E-324 9.9E-324
17.058: LeftPaddle 219.0 315.0
17.058: RightPaddle 9.9E-324 9.9E-324
17.159: LeftPaddle 219.0 171.0
17.159: RightPaddle 9.9E-324 9.9E-324
17.25: LeftPaddle 216.0 171.0
17.25: RightPaddle 9.9E-324 9.9E-324
17.359: LeftPaddle 216.0 171.0
17.359: RightPaddle 9.9E-324 9.9E-324
17.457: LeftPaddle 216.0 171.0
17.457: RightPaddle 9.9E-324 9.9E-324
17.553: LeftPaddle 216.0 171.0
17.553: RightPaddle 9.9E-324 9.9E-324
17.65: LeftPaddle 216.0 171.0
17.65: RightPaddle 9.9E-324 9.9E-324
17.65: MeSpawn 184.0817798278017 4 17 square
17.758: LeftPaddle 204.0 270.0
17.758: RightPaddle 9.9E-324 9.9E-324
17.758: MeDeflect 16
17.758: Score increased to 10
17.857: LeftPaddle 75.0 345.0
17.857: RightPaddle 9.9E-324 9.9E-324
17.953: LeftPaddle 75.0 345.0
17.953: RightPaddle 9.9E-324 9.9E-324
18.049: LeftPaddle 75.0 345.0
18.049: RightPaddle 9.9E-324 9.9E-324
18.146: LeftPaddle 75.0 345.0
18.146: RightPaddle 9.9E-324 9.9E-324
18.259: LeftPaddle 219.0 345.0
18.259: RightPaddle 9.9E-324 9.9E-324
18.359: LeftPaddle 225.0 309.0
18.359: RightPaddle 9.9E-324 9.9E-324
18.45: LeftPaddle 225.0 225.0
18.45: RightPaddle 9.9E-324 9.9E-324
18.548: LeftPaddle 225.0 225.0
18.548: RightPaddle 9.9E-324 9.9E-324
18.577: MeDeflect 17
18.577: Score increased to 11
18.657: LeftPaddle 117.0 225.0
18.657: RightPaddle 9.9E-324 9.9E-324
18.657: MeSpawn 137.32925446635457 6 18 circle
18.756: LeftPaddle 117.0 225.0
18.756: RightPaddle 9.9E-324 9.9E-324
18.856: LeftPaddle 117.0 234.0
18.856: RightPaddle 9.9E-324 9.9E-324
